Subject Code,Subject Title,Maximum Mark,Grade Boundaries,,,,,
,,,A*,A,B,C,D,E
7127,ACCOUNTING ADV,240,183,158,135,112,90,68
7205,ART & DES ADV (3D DESIGN),480,399,370,313,257,201,145
7201,"ART & DES ADV (ART,CRAFT & DES)",480,399,370,313,257,201,145
7202,ART & DES ADV (FINE ART),480,399,370,313,257,201,145
7203,ART & DES ADV (GRAPHIC COM),480,399,370,313,257,201,145
7206,ART & DES ADV (PHOTOGRAPHY),480,409,390,336,282,228,175
7204,ART & DES ADV (TEXTILE DESIGN),480,399,370,313,257,201,145
7637,BENGALI ADV,400,301,263,225,187,150,113
7677,BIBLICAL HEBREW ADV,300,221,191,164,137,110,84
7402,BIOLOGY ADV,260,192,165,139,113,88,63
7132,BUSINESS ADV,300,219,197,168,139,110,82
7405,CHEMISTRY ADV,300,239,197,162,127,93,59
7517A,COMP SCI ADV (C#),375,300,245,201,157,113,69
7517B,COMP SCI ADV (JAVA),375,300,245,201,157,113,69
7517D,COMP SCI ADV (PYTHON),375,300,245,201,157,113,69
7517E,COMP SCI ADV (VB.NET),375,300,245,201,157,113,69
7562,D&T: FASHION AND TEXTILES ADV,400,331,305,264,223,182,142
7552,D&T: PRODUCT DESIGN ADV,400,317,291,250,209,168,127
7237,DANCE ADV,200,156,139,121,104,87,70
7262,DRAMA AND THEATRE ADV,200,159,145,125,105,85,66
7136,ECONOMICS ADV,240,177,153,130,107,84,61
7707,ENGLISH LANG AND LIT ADV,250,207,191,163,135,108,81
7702,ENGLISH LANGUAGE ADV,500,433,397,341,285,229,174
7712A,ENGLISH LIT A ADV OPTION A,375,321,286,244,203,162,121
7712B,ENGLISH LIT A ADV OPTION B,375,326,294,250,206,162,119
7717AA,ENGLISH LIT B ADV OPTION AA,375,317,283,241,199,157,115
7717AB,ENGLISH LIT B ADV OPTION AB,375,313,277,237,197,157,117
7717BA,ENGLISH LIT B ADV OPTION BA,375,336,301,260,219,178,137
7717BB,ENGLISH LIT B ADV OPTION BB,375,330,295,256,217,178,139
7447,ENVIRONMENTAL SCIENCE ADV,240,172,155,131,108,85,62
7652T,FRENCH ADV TEACHER COND OPTION,400,360,322,283,244,205,167
7652V,FRENCH ADV VISITING EXR OPTION,400,360,322,283,244,205,167
7367DS,FURTHER MATHS ADV OPTION DS,300,243,204,170,136,102,69
7367MD,FURTHER MATHS ADV OPTION MD,300,237,201,169,138,107,76
7367SM,FURTHER MATHS ADV OPTION SM,300,241,199,165,132,99,66
7037,GEOGRAPHY ADV,300,241,213,183,153,123,94
7662T,GERMAN ADV TEACHER COND OPTION,400,351,306,259,212,165,119
7662V,GERMAN ADV VISITING EXR OPTION,400,351,306,259,212,165,119
7042AA,HISTORY ADV OPTION AA,200,157,135,111,88,65,42
7042AB,HISTORY ADV OPTION AB,200,159,137,113,89,66,43
7042AD,HISTORY ADV OPTION AD,200,158,136,112,88,64,41
7042AE,HISTORY ADV OPTION AE,200,159,137,114,91,68,46
7042AM,HISTORY ADV OPTION AM,200,150,128,106,85,64,43
7042AS,HISTORY ADV OPTION AS,200,157,135,111,87,64,41
7042BB,HISTORY ADV OPTION BB,200,164,142,118,94,70,46
7042BD,HISTORY ADV OPTION BD,200,163,141,116,92,68,44
7042BE,HISTORY ADV OPTION BE,200,164,142,118,95,72,49
7042BM,HISTORY ADV OPTION BM,200,155,133,111,89,67,46
7042BS,HISTORY ADV OPTION BS,200,162,140,116,92,68,44
7042CF,HISTORY ADV OPTION CF,200,162,140,117,94,71,49
7042CG,HISTORY ADV OPTION CG,200,160,138,115,92,70,48
7042CH,HISTORY ADV OPTION CH,200,155,133,111,89,67,46
7042CJ,HISTORY ADV OPTION CJ,200,161,139,117,95,73,52
7042CK,HISTORY ADV OPTION CK,200,157,135,112,89,66,44
7042CL,HISTORY ADV OPTION CL,200,158,136,113,90,68,46
7042CN,HISTORY ADV OPTION CN,200,156,135,113,91,69,48
7042CO,HISTORY ADV OPTION CO,200,160,139,117,95,73,52
7042CP,HISTORY ADV OPTION CP,200,160,138,116,94,73,52
7042CQ,HISTORY ADV OPTION CQ,200,160,138,116,94,72,50
7042CR,HISTORY ADV OPTION CR,200,162,140,117,94,72,50
7042CT,HISTORY ADV OPTION CT,200,160,138,116,94,73,52
7042DG,HISTORY ADV OPTION DG,200,165,143,119,96,73,50
7042DH,HISTORY ADV OPTION DH,200,160,138,115,92,70,48
7042DJ,HISTORY ADV OPTION DJ,200,166,144,121,98,76,54
7042DK,HISTORY ADV OPTION DK,200,162,140,116,92,69,46
7042DL,HISTORY ADV OPTION DL,200,163,141,117,94,71,48
7042DN,HISTORY ADV OPTION DN,200,162,140,117,94,72,50
7042DO,HISTORY ADV OPTION DO,200,166,144,121,98,76,54
7042DP,HISTORY ADV OPTION DP,200,165,143,120,98,76,54
7042DQ,HISTORY ADV OPTION DQ,200,165,143,120,97,74,52
7042DR,HISTORY ADV OPTION DR,200,167,145,121,98,75,52
7042EA,HISTORY ADV OPTION EA,200,155,133,112,91,70,50
7042EE,HISTORY ADV OPTION EE,200,157,135,114,94,74,54
7042EM,HISTORY ADV OPTION EM,200,148,126,107,88,69,51
7042ES,HISTORY ADV OPTION ES,200,155,133,112,91,70,49
7042FC,HISTORY ADV OPTION FC,200,160,138,115,92,69,46
7042FF,HISTORY ADV OPTION FF,200,163,141,117,94,71,48
7042FG,HISTORY ADV OPTION FG,200,161,139,116,93,70,47
7042FH,HISTORY ADV OPTION FH,200,156,134,111,89,67,45
7042FJ,HISTORY ADV OPTION FJ,200,162,140,117,95,73,51
7042FL,HISTORY ADV OPTION FL,200,159,137,114,91,68,45
7042FN,HISTORY ADV OPTION FN,200,158,136,113,91,69,47
7042FO,HISTORY ADV OPTION FO,200,162,140,117,95,73,51
7042FP,HISTORY ADV OPTION FP,200,161,139,117,95,73,51
7042FQ,HISTORY ADV OPTION FQ,200,161,139,116,93,71,49
7042FR,HISTORY ADV OPTION FR,200,163,141,118,95,72,49
7042FT,HISTORY ADV OPTION FT,200,161,139,117,95,73,51
7042GF,HISTORY ADV OPTION GF,200,159,137,114,91,69,47
7042GG,HISTORY ADV OPTION GG,200,157,135,112,90,68,46
7042GH,HISTORY ADV OPTION GH,200,152,130,108,86,65,44
7042GK,HISTORY ADV OPTION GK,200,154,132,109,86,64,42
7042GL,HISTORY ADV OPTION GL,200,155,133,110,88,66,44
7042GN,HISTORY ADV OPTION GN,200,154,132,110,88,67,46
7042GO,HISTORY ADV OPTION GO,200,158,136,114,92,71,50
7042GP,HISTORY ADV OPTION GP,200,157,135,113,92,71,50
7042GQ,HISTORY ADV OPTION GQ,200,157,135,113,91,69,48
7042GR,HISTORY ADV OPTION GR,200,159,137,114,92,70,48
7042HA,HISTORY ADV OPTION HA,200,154,132,110,88,66,45
7042HB,HISTORY ADV OPTION HB,200,156,134,112,90,68,46
7042HD,HISTORY ADV OPTION HD,200,155,133,110,88,66,44
7042HE,HISTORY ADV OPTION HE,200,156,134,112,91,70,49
7042HM,HISTORY ADV OPTION HM,200,147,125,105,85,65,46
7042HS,HISTORY ADV OPTION HS,200,159,132,110,88,66,44
7042JF,HISTORY ADV OPTION JF,200,158,136,113,90,67,45
7042JG,HISTORY ADV OPTION JG,200,156,134,111,88,66,44
7042JH,HISTORY ADV OPTION JH,200,151,129,107,85,63,42
7042JJ,HISTORY ADV OPTION JJ,200,157,135,113,91,69,48
7042JL,HISTORY ADV OPTION JL,200,154,132,109,86,64,42
7042JN,HISTORY ADV OPTION JN,200,153,131,109,87,65,44
7042JO,HISTORY ADV OPTION JO,200,157,135,113,91,69,48
7042JP,HISTORY ADV OPTION JP,200,156,134,112,90,69,48
7042JQ,HISTORY ADV OPTION JQ,200,156,134,112,90,68,46
7042JR,HISTORY ADV OPTION JR,200,158,136,113,90,68,46
7042JT,HISTORY ADV OPTION JT,200,156,134,112,90,69,48
7042KA,HISTORY ADV OPTION KA,200,159,137,114,92,70,48
7042KB,HISTORY ADV OPTION KB,200,161,139,116,93,71,49
7042KD,HISTORY ADV OPTION KD,200,160,138,115,92,69,47
7042KE,HISTORY ADV OPTION KE,200,161,139,117,95,73,52
7042KM,HISTORY ADV OPTION KM,200,152,130,109,89,69,49
7042KS,HISTORY ADV OPTION KS,200,159,137,114,91,69,47
7042LA,HISTORY ADV OPTION LA,200,157,135,112,90,68,46
7042LB,HISTORY ADV OPTION LB,200,159,137,114,91,69,47
7042LD,HISTORY ADV OPTION LD,200,158,136,113,90,67,45
7042LE,HISTORY ADV OPTION LE,200,159,137,115,93,71,50
7042LM,HISTORY ADV OPTION LM,200,150,128,107,87,67,47
7042LS,HISTORY ADV OPTION LS,200,156,135,112,89,67,45
7162A,LAW ADV OPTION A,300,209,185,153,122,91,60
7162B,LAW ADV OPTION B,300,213,186,155,124,93,62
7357,MATHEMATICS ADV,300,260,221,183,145,108,71
7572,MEDIA STUDIES ADV,240,203,184,156,129,102,75
7672,MODERN HEBREW ADV,400,297,260,223,186,150,114
7272,MUSIC ADV,300,249,222,194,167,140,113
7682,PANJABI ADV,400,261,232,203,174,145,116
7172,PHILOSOPHY ADV,200,158,136,110,84,58,33
7582,PHYSICAL EDUCATION ADV,300,223,205,178,151,125,99
7408A,PHYSICS ADV (ASTROPHYSICS),250,182,152,126,100,75,50
7408E,PHYSICS ADV (ELECTRONICS),250,185,153,127,101,76,51
7408C,PHYSICS ADV (ENGINEERING),250,190,155,129,103,77,51
7408B,PHYSICS ADV (MEDICAL),250,181,148,123,98,74,50
7408D,PHYSICS ADV (TURNING POINTS),250,184,151,126,101,76,51
7687,POLISH ADV,400,327,265,228,191,154,117
7152,POLITICS ADV,231,175,149,122,96,70,44
7182,PSYCHOLOGY ADV,288,222,198,163,128,94,60
7062A,RELIGIOUS STUDIES ADV OPTION A,200,173,148,122,96,71,46
7062B,RELIGIOUS STUDIES ADV OPTION B,200,173,148,122,96,71,46
7062C,RELIGIOUS STUDIES ADV OPTION C,200,173,148,122,96,71,46
7062D,RELIGIOUS STUDIES ADV OPTION D,200,173,148,122,96,71,46
7062E,RELIGIOUS STUDIES ADV OPTION E,200,173,148,122,96,71,46
7192,SOCIOLOGY ADV,240,190,171,147,123,99,76
7692T,SPANISH ADV TEACHER COND OPT,400,349,313,266,219,173,127
7692V,SPANISH ADV VISITING EXR OPT,400,349,313,266,219,173,127
