Subject Code,Subject Title,Maximum Mark,Grade Boundaries,,,,,,,,
,,,9,8,7,6,5,4,3,2,1
8205,ART & DESIGN (3D DESIGN),480,403,371,340,303,266,230,166,103,40
8201,"ART & DESIGN (ART,CRAFT & DES)",480,403,371,340,303,266,230,166,103,40
8202,ART & DESIGN (FINE ART),480,403,371,340,303,266,230,166,103,40
8203,ART & DESIGN (GRAPHIC COMM),480,403,371,340,303,266,230,166,103,40
8206,ART & DESIGN (PHOTOGRAPHY),480,403,371,340,303,266,230,166,103,40
8204,ART & DESIGN (TEXTILES DESIGN),480,403,371,340,303,266,230,166,103,40
8638F,BENGALI TIER F,240,403,371,340,303,129,104,80,56,33
8638H,BENGALI TIER H,240,202,177,152,127,102,78,66,56,33
8461F,BIOLOGY TIER F,200,202,177,152,127,140,121,87,53,19
8461H,BIOLOGY TIER H,200,141,127,113,94,75,56,46,53,19
8132,BUSINESS,180,131,122,114,102,90,78,57,36,15
8462F,CHEMISTRY TIER F,200,131,122,114,102,132,109,80,52,24
8462H,CHEMISTRY TIER H,200,150,132,115,90,66,42,30,52,24
8673F,CHINESE (SPOKEN MAND) TIER F,240,150,132,115,90,139,118,89,61,33
8673H,CHINESE (SPOKEN MAND) TIER H,240,207,174,141,123,106,89,80,61,33
8100,CITIZENSHIP STUDIES,160,137,127,117,103,89,75,56,37,19
8525A,COMPUTER SCIENCE OPT A (C#),180,155,142,130,111,92,74,55,36,18
8525B,COMPUTER SCIENCE OPT B (PYTHON),180,155,142,130,111,92,74,55,36,18
8525C,COMPUTER SCIENCE OPT C (VB.NET),180,155,142,130,111,92,74,55,36,18
8236,DANCE,400,334,309,284,252,221,190,146,102,58
8552,DESIGN AND TECHNOLOGY,200,179,165,152,134,117,100,73,46,20
8261,DRAMA,200,167,156,145,129,113,97,72,47,23
8136,ECONOMICS,160,133,125,118,106,94,82,60,38,16
8852,ENGINEERING,200,176,164,152,137,123,109,81,53,25
8700,ENGLISH LANGUAGE,160,119,109,100,91,82,73,54,35,16
8702,ENGLISH LITERATURE,160,136,122,108,92,77,62,46,30,15
8585,FOOD PREPARATION AND NUTRITION,200,169,155,142,126,110,95,71,47,23
8658F,FRENCH TIER F,240,169,155,142,126,163,151,108,66,24
8658H,FRENCH TIER H,240,205,182,159,144,129,114,106,66,24
8035,GEOGRAPHY,252,199,180,161,142,124,106,77,48,20
8668F,GERMAN TIER F,240,199,180,161,142,178,159,114,69,24
8668H,GERMAN TIER H,240,205,184,163,144,126,108,99,69,24
8145AA,HISTORY AA,168,114,102,91,79,68,57,41,25,9
8145AB,HISTORY AB,168,115,103,92,80,69,58,42,26,10
8145AC,HISTORY AC,168,113,103,93,81,70,59,42,25,9
8145AF,HISTORY AF,168,113,101,90,78,66,54,39,24,9
8145AH,HISTORY AH,168,111,99,88,76,64,53,38,23,8
8145AJ,HISTORY AJ,168,114,102,91,79,67,55,39,23,8
8145BA,HISTORY BA,168,114,103,92,81,70,59,42,25,9
8145BC,HISTORY BC,168,110,102,94,83,72,61,43,26,9
8145BD,HISTORY BD,168,114,102,91,80,69,59,42,25,9
8145BJ,HISTORY BJ,168,115,103,92,80,68,57,40,24,8
8145BL,HISTORY BL,168,117,105,94,82,70,59,42,25,8
8145CA,HISTORY CA,168,116,104,93,81,70,59,42,26,10
8145CB,HISTORY CB,168,117,105,94,82,71,60,43,27,11
8145CC,HISTORY CC,168,118,106,95,83,72,61,44,27,10
8145CD,HISTORY CD,168,115,103,92,81,70,59,42,26,10
8145CG,HISTORY CG,168,116,104,93,81,69,57,41,25,9
8145CL,HISTORY CL,168,118,106,95,83,71,59,42,25,9
8145CM,HISTORY CM,168,115,103,92,80,68,57,41,25,9
8145DA,HISTORY DA,168,115,103,92,81,70,59,42,25,9
8145DC,HISTORY DC,168,117,105,94,83,72,61,43,26,9
8145DE,HISTORY DE,168,113,101,90,78,66,55,39,23,8
8145DJ,HISTORY DJ,168,115,103,92,80,68,57,40,24,8
8145EA,HISTORY EA,168,111,99,88,76,65,54,39,24,10
8145EC,HISTORY EC,168,113,101,90,78,67,56,40,25,10
8145EH,HISTORY EH,168,108,96,85,73,61,50,36,22,9
8145FA,HISTORY FA,168,116,105,94,82,71,60,43,26,10
8145FB,HISTORY FB,168,118,106,95,83,72,61,44,27,11
8145FC,HISTORY FC,168,119,107,96,84,73,62,44,27,10
8145FD,HISTORY FD,168,116,104,93,82,71,60,43,26,10
8145FE,HISTORY FE,168,115,103,92,80,68,56,40,24,9
8145FF,HISTORY FF,168,116,104,93,81,69,57,41,25,10
8145FG,HISTORY FG,168,115,104,94,82,70,58,41,25,9
8145FJ,HISTORY FJ,168,117,105,94,82,70,58,41,25,9
8145FK,HISTORY FK,168,118,106,95,83,71,59,42,26,10
8145FL,HISTORY FL,168,119,107,96,84,72,60,43,26,9
8145FM,HISTORY FM,168,116,104,93,81,69,58,41,25,9
8145GA,HISTORY GA,168,118,106,95,84,73,62,44,27,10
8145GB,HISTORY GB,168,119,107,96,85,74,63,45,28,11
8145GC,HISTORY GC,168,121,109,97,86,75,64,46,28,10
8145GD,HISTORY GD,168,117,105,94,83,72,62,44,27,10
8145GE,HISTORY GE,168,120,106,93,81,69,58,41,25,9
8145GF,HISTORY GF,168,117,105,94,82,70,59,42,26,10
8145GG,HISTORY GG,168,120,107,95,83,71,60,43,26,9
8145GH,HISTORY GH,168,115,103,92,80,69,58,41,25,9
8145GJ,HISTORY GJ,168,117,106,95,83,71,60,43,26,9
8145GK,HISTORY GK,168,119,107,96,84,72,61,44,27,10
8145GL,HISTORY GL,168,123,110,97,85,73,62,44,26,9
8145GM,HISTORY GM,168,117,105,94,82,71,60,43,26,9
8145HA,HISTORY HA,168,125,110,96,84,73,62,45,28,11
8145HC,HISTORY HC,168,119,108,98,86,75,64,46,28,11
8145HD,HISTORY HD,168,118,106,95,84,73,62,45,28,11
8145HE,HISTORY HE,168,117,105,94,82,70,58,42,26,10
8145HF,HISTORY HF,168,118,106,95,83,71,59,43,27,11
8145HG,HISTORY HG,168,124,110,96,84,72,60,43,26,10
8145HH,HISTORY HH,168,116,104,93,81,69,58,42,26,10
8145HJ,HISTORY HJ,168,120,108,96,84,72,60,43,26,10
8145HK,HISTORY HK,168,120,108,97,85,73,61,44,27,11
8145HL,HISTORY HL,168,124,111,98,86,74,62,44,27,10
8145HM,HISTORY HM,168,118,106,95,83,71,60,43,26,10
8145JA,HISTORY JA,168,118,106,95,84,73,62,44,27,10
8145JC,HISTORY JC,168,121,109,97,86,75,64,46,28,10
8145JD,HISTORY JD,168,117,105,94,83,72,62,44,27,10
8145JE,HISTORY JE,168,116,104,93,81,69,58,41,25,9
8145JG,HISTORY JG,168,119,107,95,83,71,60,43,26,9
8145JH,HISTORY JH,168,115,103,92,80,69,58,41,25,9
8145JJ,HISTORY JJ,168,118,106,95,83,71,60,43,26,9
8145JK,HISTORY JK,168,119,107,96,84,72,61,44,27,10
8145JL,HISTORY JL,168,121,109,97,85,73,62,44,26,9
8145JM,HISTORY JM,168,117,105,94,82,71,60,43,26,9
8145KB,HISTORY KB,168,115,103,92,80,69,58,42,27,12
8145KC,HISTORY KC,168,116,104,93,81,70,59,43,27,11
8145KD,HISTORY KD,168,113,101,90,79,68,57,41,26,11
8145KG,HISTORY KG,168,114,102,91,79,67,55,40,25,10
8145KJ,HISTORY KJ,168,114,102,91,79,67,55,40,25,10
8145KL,HISTORY KL,168,116,104,93,81,69,57,41,25,10
8145KM,HISTORY KM,168,113,101,90,78,66,55,40,25,10
8145LA,HISTORY LA,168,118,106,95,83,71,60,43,26,10
8145LB,HISTORY LB,168,119,107,96,84,72,61,44,27,11
8145LC,HISTORY LC,168,120,108,97,85,73,62,44,27,10
8145LE,HISTORY LE,168,116,104,93,80,68,56,40,24,9
8145LG,HISTORY LG,168,118,106,95,82,70,58,41,25,9
8145LH,HISTORY LH,168,115,103,92,80,68,56,40,24,9
8145LJ,HISTORY LJ,168,118,106,95,82,70,58,41,25,9
8145LL,HISTORY LL,168,120,108,97,84,72,60,43,26,9
8145MA,HISTORY MA,168,119,107,96,84,73,62,44,27,10
8145MB,HISTORY MB,168,120,108,97,85,74,63,45,28,11
8145MC,HISTORY MC,168,121,109,98,86,75,64,46,28,10
8145ME,HISTORY ME,168,117,105,94,82,70,58,41,25,9
8145MG,HISTORY MG,168,119,107,96,84,72,60,43,26,9
8145MJ,HISTORY MJ,168,119,107,96,84,72,60,43,26,9
8145ML,HISTORY ML,168,121,109,98,86,74,62,44,26,9
8145NA,HISTORY NA,168,120,108,97,85,73,62,45,28,11
8145NB,HISTORY NB,168,121,109,98,86,74,63,46,29,12
8145NC,HISTORY NC,168,122,110,99,87,75,64,46,28,11
8145ND,HISTORY ND,168,119,107,96,84,73,62,45,28,11
8145NE,HISTORY NE,168,118,106,95,82,70,58,42,26,10
8145NG,HISTORY NG,168,120,108,97,84,72,60,43,26,10
8145NH,HISTORY NH,168,117,105,94,82,70,58,42,26,10
8145NJ,HISTORY NJ,168,120,108,97,84,72,60,43,26,10
8145NK,HISTORY NK,168,121,109,98,85,73,61,44,27,11
8145NL,HISTORY NL,168,122,110,99,86,74,62,44,27,10
8145OA,HISTORY OA,168,119,107,96,84,73,62,44,27,10
8145OB,HISTORY OB,168,120,108,97,85,74,63,45,28,11
8145OC,HISTORY OC,168,121,109,98,86,75,64,46,28,10
8145OD,HISTORY OD,168,118,106,95,84,73,62,44,27,10
8145OG,HISTORY OG,168,119,107,96,84,72,60,43,26,9
8145OJ,HISTORY OJ,168,119,107,96,84,72,60,43,26,9
8145PH,HISTORY PH,168,112,100,89,77,65,53,38,24,10
8145QA,HISTORY QA,168,120,109,98,86,75,64,46,28,11
8145QB,HISTORY QB,168,122,110,99,87,76,65,47,29,12
8145QC,HISTORY QC,168,122,111,100,88,77,66,47,29,11
8145QD,HISTORY QD,168,120,108,97,86,75,64,46,28,11
8145QE,HISTORY QE,168,119,107,96,84,72,60,43,26,10
8145QF,HISTORY QF,168,120,108,97,85,73,61,44,27,11
8145QG,HISTORY QG,168,121,109,98,86,74,62,44,27,10
8145QJ,HISTORY QJ,168,121,109,98,86,74,62,44,27,10
8145QL,HISTORY QL,168,123,111,100,88,76,64,46,28,10
8145QM,HISTORY QM,168,120,108,97,85,73,62,44,27,10
8145RA,HISTORY RA,168,122,110,99,88,77,66,47,29,11
8145RC,HISTORY RC,168,123,112,101,90,79,68,49,30,11
8145RD,HISTORY RD,168,121,109,98,87,76,66,47,29,11
8145RE,HISTORY RE,168,120,108,97,85,73,62,44,27,10
8145RG,HISTORY RG,168,122,110,99,87,75,64,46,28,10
8145RH,HISTORY RH,168,119,107,96,84,73,62,44,27,10
8145RJ,HISTORY RJ,168,122,110,99,87,75,64,46,28,10
8145RK,HISTORY RK,168,123,111,100,88,76,65,47,29,11
8145RL,HISTORY RL,168,126,113,101,89,77,66,47,28,10
8145RM,HISTORY RM,168,121,109,98,86,75,64,46,28,10
8145SA,HISTORY SA,168,123,111,100,88,77,66,48,30,12
8145SB,HISTORY SB,168,124,112,101,89,78,67,49,31,13
8145SC,HISTORY SC,168,125,113,102,90,79,68,49,30,12
8145SD,HISTORY SD,168,122,110,99,88,77,66,48,30,12
8145SE,HISTORY SE,168,121,109,98,86,74,62,45,28,11
8145SF,HISTORY SF,168,122,110,99,87,75,63,46,29,12
8145SG,HISTORY SG,168,121,110,100,88,76,64,46,28,11
8145SH,HISTORY SH,168,120,108,97,85,73,62,45,28,11
8145SJ,HISTORY SJ,168,123,111,100,88,76,64,46,28,11
8145SL,HISTORY SL,168,126,114,102,90,78,66,47,29,11
8145TA,HISTORY TA,168,119,109,99,88,77,66,47,29,11
8145TB,HISTORY TB,168,123,111,100,89,78,67,48,30,12
8145TC,HISTORY TC,168,123,112,101,90,79,68,49,30,11
8145TD,HISTORY TD,168,121,109,98,87,76,66,47,29,11
8145TE,HISTORY TE,168,120,108,97,85,73,62,44,27,10
8145TF,HISTORY TF,168,121,109,98,86,74,63,45,28,11
8145TG,HISTORY TG,168,122,110,99,87,75,64,46,28,10
8145TH,HISTORY TH,168,119,107,96,84,73,62,44,27,10
8145TJ,HISTORY TJ,168,122,110,99,87,75,64,46,28,10
8145TK,HISTORY TK,168,123,111,100,88,76,65,47,29,11
8145TL,HISTORY TL,168,124,112,101,89,77,66,47,28,10
8145TM,HISTORY TM,168,121,109,98,86,75,64,46,28,10
8145UC,HISTORY UC,168,120,108,97,85,74,63,46,29,12
8145UH,HISTORY UH,168,115,103,92,80,68,57,41,26,11
8145UL,HISTORY UL,168,120,108,97,85,73,61,44,27,11
8633F,ITALIAN TIER F,240,120,108,97,85,133,117,88,60,32
8633H,ITALIAN TIER H,240,186,160,135,116,97,79,70,60,32
8300F,MATHEMATICS TIER F,240,186,160,135,116,188,160,119,79,39
8300H,MATHEMATICS TIER H,240,219,191,164,130,96,63,46,79,39
8572,MEDIA STUDIES,240,186,171,156,136,117,98,72,46,21
8678F,MODERN HEBREW TIER F,240,186,171,156,136,157,132,107,82,57
8678H,MODERN HEBREW TIER H,240,208,178,148,126,104,82,71,82,57
8271,MUSIC,240,197,184,171,156,142,128,100,73,46
8683F,PANJABI TIER F,240,197,184,171,156,174,155,111,67,24
8683H,PANJABI TIER H,240,218,198,179,158,137,116,105,67,24
8582,PHYSICAL EDUCATION,260,215,202,190,174,158,142,107,73,39
8463F,PHYSICS TIER F,200,215,202,190,174,144,131,95,59,24
8463H,PHYSICS TIER H,200,152,139,126,107,88,70,61,59,24
8688F,POLISH TIER F,240,152,139,126,107,154,141,102,63,24
8688H,POLISH TIER H,240,193,169,145,134,123,113,108,63,24
8182,PSYCHOLOGY,200,170,156,142,122,103,84,61,38,15
8061A,RELIGIOUS STUDIES (SC) OPT A,102,87,78,69,61,53,46,34,23,12
8061B,RELIGIOUS STUDIES (SC) OPT B,102,89,81,73,63,53,44,33,22,12
8061C,RELIGIOUS STUDIES (SC) OPT C,102,82,74,66,58,51,44,33,22,12
8061D,RELIGIOUS STUDIES (SC) OPT D,102,86,78,70,62,55,48,36,24,12
